"name","market_location","city","state","zip_code","county","hours"
"18th Street Farmers Market (Scottsbluff)","1800 Broadway 18th Street Plaza","Scottsbluff","NE","69361","SCOTTS_BLUFF","June - September 8 a.m. - 11 a.m."
"Alma Farmers Market","Main Street","Alma","NE","68920","HARLAN","9 am - Noon"
"Aurora Market on the Square","Courthouse Square","Aurora","NE","68801","HAMILTON","June - September 8 - 11 a.m."
"Beatrice Downtown Farmers Market","6th & High Streets 318 North 6th Street","Beatrice","NE","68310","GAGE","Mid-May - Mid-October 4 - 6:30 p.m."
"Beaver City Farmers Market","9th and O St","Beaver City","NE","68926","FURNAS","June - September 8:00 am to Noon"
"Bellevue Farmers Market","20th Ave and Franklin St","Bellevue","NE","68123","SARPY","June 4 - Sept. 10  7:45 a.m. - 12 p.m."
"Bennet Farmers Market","Village Park","Bennet","NE","68317","LANCASTER","May 5 thru Sept. 4-7pm excluding week of July 4th"
"Blair Farmers Market","13th and Washington St","Blair","NE","68008","KS_WASHINGTON","May - October 8 a.m. - 12 p.m."
"Bridgeport Farmers Market","Karette Drive In 409 Main St","Bridgeport","NE","69336","MORRILL","June - October 4 - 7 p.m."
"Broken Bow Market on the Square","Downtown Square Park","Broken Bow","NE","68822","CUSTER","10 am - 3 pm May 16th end Sept. 19th"
"Chatter Box Farmers Market in Tekamah","203 So 13th St.","Tekamah","NE","68061","BURT","4-7 p.m."
"Cheyenne County Farmers Market (Sidney)","10th and Hickory St","Sidney","NE","69162","KS_CHEYENNE","June - September 8 a.m. - Noon or selleout"
"Columbus Farmers Market","14th St and 27th Ave in Frankfort Square","Columbus","NE","68601","PLATTE","May - October 7:30 a.m. - 12 p.m."
"Cozad Farmers Market","Veterans Memorial Park","Cozad","NE","69130","DAWSON","June - Sept   8 - 10 a.m."
"Cozad Farmers Market - GGC","8th and F St","Cozad","NE","69130","DAWSON","July - October 4:00-6:00pm"
"Crete Farmers Market","1025 Main Ave. Ace Hardware Parking Lot","Crete","NE","68333","SALINE","June - October 2:30 - 6:30 p.m."
"David City Farmers Market","1652 N 4th St","David City","NE","68632","BUTLER","May - October 4 - 6 p.m."
"Downtown Fremont Market","114 E Military Ave (Corner of Military and Park)","Fremont","NE","68025","SAUNDERS","Mid-July - End of September 4:00-7:00pm"
"Falls City Farmers Market","14th and Stone St (south library parking lot)","Falls City","NE","68355","RICHARDSON","May - September Thursdays 4-6:00pm Saturdays 9-11am"
"Florence Mill Farmers Market (Omaha)","9102 N 30th Street","Omaha","NE","68106","DOUGLAS","June - September 10 a.m. - 3 p.m."
"Geneva Farmers Market","N 10th and G St  (The Bull Pen)","Geneva","NE","68361","FILLMORE","June - October 5 - 6 p.m."
"Gifford Park Neighborhood Market (Omaha)","520 N 33rd St","Omaha","NE","68131","DOUGLAS","June - September  5 - 8 p.m."
"Gordon Farmers Market - Pizza Hut","Pizza Hut parking lot","Gordon","NE","69343","SHERIDAN","June - October 9 am - 3 pm"
"Gothenburg Farmers Market","Ave F and 15th St","Gothenburg","NE","69138","DAWSON","July - October 5;00 - 7:00 p.m."
"Grand Island Farmers Market","Ace Hardware 1704 W 3rd St","Grand Island","NE","68803","HALL","July - October 8 a.m. - 6 p.m. open ended vendors come and go"
"Hebron Farmers Market","240 Lincoln Ave","Hebron","NE","68370","THAYER","July - September 7 a.m. - sellout"
"Henderson Farmers Market","1001 14th St","Henderson","NE","68371","YORK","June - August 5 - 7 p.m."
"Heritage Local Co.","http://www.heritageacres.net","McCook","NE","69001","RED_WILLOW","March - December order on weekends; pick-up 4:40  5:30 p.m. on Tues."
"Highland Park Farmers Market","14th St and Hastings Ave","Hastings","NE","68901","ADAMS","June - October 8 a.m. - 12 p.m."
"Holdrege Area Farmers Market","715 5th Ave","Holdrege","NE","68949","PHELPS","May - September 4:30 - 7 p.m."
"Hub Farmers Market","250 N 21st Street","Lincoln","NE","68503","LANCASTER","May - Sept. 5 - 7 p.m.  (Accepts SNAP)"
"Kearney Area Farmers Market - Hilltop Mall","Hilltop Mall parking lot 502 2nd Ave.","Kearney","NE","68847","BUFFALO","May-thru-Oct. Wed. 2 pm to 6 pm and Sat. 8 am to 1 pm"
"Kearney Night Market","Downtown Kearney on the Bricks (24th Street Between 2nd Ave & Central Ave)","Kearney","NE","68847","BUFFALO","Every First and Third Thursday from April 6th 2017 until October 5th 7:00pm – 10:00pm"
"Lexington Farmers Market","1501 Plum Creek Pkwy","Lexington","NE","68850","DAWSON","June 8 thru Oct. 12 Tuesdays 3 - 6 p.m. and Saturdays 8 - 11 a.m."
"Lincoln Haymarket Farmers Market","P St and N 7th St","Lincoln","NE","68508","LANCASTER","May - October 8 a.m. - 12 p.m."
"Long Pine Farmers Market","Main St","Long Pine","NE","69217","KS_BROWN","July - September 9 a.m. - 1 p.m."
